2020-09-27,Autograph Capsule | mousesports | MLG Columbus 2016,28.8
2020-09-27,Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,27.8
2020-09-27,Autograph Capsule | Challengers (Foil) | Atlanta 2017,234.2
2020-09-27,Autograph Capsule | Team Kinguin | Cologne 2015,16.99
2020-09-27,Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015,22.8
2020-09-27,Autograph Capsule | mousesports | Atlanta 2017,29.29
2020-09-27,Autograph Capsule | FaZe Clan | Atlanta 2017,21.67
2020-09-27,Autograph Capsule | SK Gaming | Cologne 2016,19.5
2020-09-27,Autograph Capsule | Team Liquid | Cologne 2016,46.45
2020-09-27,Autograph Capsule | Fnatic | MLG Columbus 2016,20
2020-09-27,Autograph Capsule | Astralis | Cologne 2016,63.3
2020-09-27,Autograph Capsule | G2 Esports | Cluj-Napoca 2015,15.5
2020-09-27,Autograph Capsule | Astralis | Atlanta 2017,35.9
2020-09-27,Autograph Capsule | Gambit Gaming | Atlanta 2017,23.99
2020-09-27,Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,20.32
2020-09-27,Autograph Capsule | Cloud9 | Cluj-Napoca 2015,32.22
2020-09-27,Autograph Capsule | Team Dignitas | Cologne 2016,34.18
2020-09-27,Autograph Capsule | Fnatic | Atlanta 2017,35.88
2020-09-27,Autograph Capsule | Team eBettle | Cologne 2015,26.4
2020-09-27,Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,13.9
2020-09-27,Autograph Capsule | Virtus.Pro | MLG Columbus 2016,19
2020-09-27,Autograph Capsule | Flipsid3 Tactics | Cologne 2015,20.69
2020-09-27,Autograph Capsule | Counter Logic Gaming | Cologne 2015,19.8
2020-09-27,Autograph Capsule | mousesports | Cologne 2015,29.75
2020-09-27,Autograph Capsule | Team Immunity | Cologne 2015,18.21
2020-09-27,Autograph Capsule | Natus Vincere | Cologne 2015,19.5
2020-09-27,Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,24.39
2020-09-27,Autograph Capsule | Renegades | Cologne 2015,29
2020-09-27,Autograph Capsule | OpTic Gaming | Atlanta 2017,25
2020-09-27,Boston 2018 Minor Challengers Autograph Capsule,761
2020-09-27,Autograph Capsule | SK Gaming | Atlanta 2017,22.99
2020-09-27,Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,50
2020-09-27,Autograph Capsule | Cloud9 | MLG Columbus 2016,55.99
2020-09-27,Autograph Capsule | Virtus.Pro | Cologne 2016,23.89
2020-09-27,Autograph Capsule | Legends (Foil) | Cologne 2016,170
2020-09-27,Autograph Capsule | Team EnVyUs | Cologne 2016,65.8
2020-09-27,Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,25.99
2020-09-27,Autograph Capsule | FaZe Clan | MLG Columbus 2016,19
2020-09-27,Autograph Capsule | Virtus.Pro | Atlanta 2017,18.99
2020-09-27,Autograph Capsule | G2 Esports | Atlanta 2017,31
2020-09-27,Autograph Capsule | GODSENT | Atlanta 2017,22
2020-09-27,Autograph Capsule | FaZe Clan | Cologne 2016,28
2020-09-27,Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,33.99
2020-09-27,Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,39.99
2020-09-27,Autograph Capsule | mousesports | Cologne 2016,45
2020-09-27,Autograph Capsule | Natus Vincere | Cologne 2016,27
2020-09-27,Boston 2018 Legends Autograph Capsule,385
2020-09-27,Autograph Capsule | Gambit Gaming | MLG Columbus 2016,22.92
2020-09-27,Autograph Capsule | G2 Esports | MLG Columbus 2016,37.99
